##############################################################################################################################################
-vCenter LOG-: 2013-10-21 14:23:10.501	Adding portGroup: pg129
-vCenter LOG-: 2013-10-21 14:23:13.214	Adding portGroup: pg130
-vCenter LOG-: 2013-10-21 14:23:16.672	Adding vSwitch: vS13
-vCenter LOG-: 2013-10-21 14:23:16.672	Enabling CDP for: vS13
-vCenter LOG-: 2013-10-21 14:23:28.662	Adding portGroup: pg131
-vCenter LOG-: 2013-10-21 14:23:31.011	Adding portGroup: pg132
-vCenter LOG-: 2013-10-21 14:23:44.587	Adding portGroup: pg133
-vCenter LOG-: 2013-10-21 14:23:45.21	Adding portGroup: pg134
-vCenter LOG-: 2013-10-21 14:23:48.101	Adding portGroup: pg135
-vCenter LOG-: 2013-10-21 14:24:01.532	Adding portGroup: pg136
-vCenter LOG-: 2013-10-21 14:24:02.347	Adding portGroup: pg137
-vCenter LOG-: 2013-10-21 14:24:05.175	Adding portGroup: pg138
-vCenter LOG-: 2013-10-21 14:24:18.534	Adding portGroup: pg139
-vCenter LOG-: 2013-10-21 14:24:19.161	Adding portGroup: pg140
-vCenter LOG-: 2013-10-21 14:24:21.944	Adding vSwitch: vS14
-vCenter LOG-: 2013-10-21 14:24:21.944	Enabling CDP for: vS14
-vCenter LOG-: 2013-10-21 14:24:36.488	Adding portGroup: pg141
-vCenter LOG-: 2013-10-21 14:24:37.134	Adding portGroup: pg142
-vCenter LOG-: 2013-10-21 14:24:39.955	Adding portGroup: pg143
-vCenter LOG-: 2013-10-21 14:24:53.713	Adding portGroup: pg144
-vCenter LOG-: 2013-10-21 14:24:54.351	Adding portGroup: pg145
-vCenter LOG-: 2013-10-21 14:24:57.348	Adding portGroup: pg146
-vCenter LOG-: 2013-10-21 14:25:10.991	Adding portGroup: pg147
-vCenter LOG-: 2013-10-21 14:25:11.716	Adding portGroup: pg148
-vCenter LOG-: 2013-10-21 14:25:14.466	Adding portGroup: pg149
-vCenter LOG-: 2013-10-21 14:25:28.199	Adding portGroup: pg150
-vCenter LOG-: 2013-10-21 14:25:28.781	Adding vSwitch: vS15
-vCenter LOG-: 2013-10-21 14:25:28.781	Enabling CDP for: vS15
-vCenter LOG-: 2013-10-21 14:25:31.973	Adding portGroup: pg151
-vCenter LOG-: 2013-10-21 14:25:45.631	Adding portGroup: pg152
-vCenter LOG-: 2013-10-21 14:25:47.293	Adding portGroup: pg153
-vCenter LOG-: 2013-10-21 14:25:49.392	Adding portGroup: pg154
-vCenter LOG-: 2013-10-21 14:26:02.991	Adding portGroup: pg155
-vCenter LOG-: 2013-10-21 14:26:03.684	Adding portGroup: pg156
-vCenter LOG-: 2013-10-21 14:26:06.804	Adding portGroup: pg157
-vCenter LOG-: 2013-10-21 14:26:20.395	Adding portGroup: pg158
-vCenter LOG-: 2013-10-21 14:26:22.05	Adding portGroup: pg159
-vCenter LOG-: 2013-10-21 14:26:25.088	Adding portGroup: pg160
-vCenter LOG-: 2013-10-21 14:26:27.883	Adding vSwitch: vS16
-vCenter LOG-: 2013-10-21 14:26:27.883	Enabling CDP for: vS16
-vCenter LOG-: 2013-10-21 14:26:39.691	Adding portGroup: pg161
-vCenter LOG-: 2013-10-21 14:26:42.728	Adding portGroup: pg162
-vCenter LOG-: 2013-10-21 14:26:56.587	Adding portGroup: pg163
-vCenter LOG-: 2013-10-21 14:26:57.472	Adding portGroup: pg164
